id,visit_id,utm_source,utm_medium,utm_campaign,utm_term,utm_content,referrer,user_agent,ip,ip_details,created_at
50,ef5bdac3-9f95-4e98-8fad-1a34d906de41,,,,,,,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/143.0.7499.151 Mobile/15E148 Safari/604.1",3.111.29.1,"{""endpoint"":""https://ipapi.co/3.111.29.1/json/"",""response"":{""error"":true,""reason"":""RateLimited"",""message"":""Visit https://ipapi.co/ratelimited/ for details""}}",2026-01-02 15:28:27
51,e816bee1-e979-4781-9878-80e28e24366f,,,,,,,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.7.2 Mobile/15E148 Safari/604.1",3.111.29.1,"{""endpoint"":""https://ipapi.co/3.111.29.1/json/"",""response"":{""error"":true,""reason"":""RateLimited"",""message"":""Visit https://ipapi.co/ratelimited/ for details""}}",2026-01-02 15:28:41
52,83f2c116-4016-4fd3-a4cf-68216ed89471,,,,,,,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1",3.111.29.1,"{""endpoint"":""https://ipapi.co/3.111.29.1/json/"",""response"":{""ip"":""3.111.29.1"",""network"":""3.111.0.0/18"",""version"":""IPv4"",""city"":""Mumbai"",""region"":""Maharashtra"",""region_code"":""MH"",""country"":""IN"",""country_name"":""India"",""country_code"":""IN"",""country_code_iso3"":""IND"",""country_capital"":""New Delhi"",""country_tld"":"".in"",""continent_code"":""AS"",""in_eu"":false,""postal"":""400072"",""latitude"":19.0931,""longitude"":72.9049,""timezone"":""Asia/Kolkata"",""utc_offset"":""+0530"",""country_calling_code"":""+91"",""currency"":""INR"",""currency_name"":""Rupee"",""languages"":""en-IN,hi,bn,te,mr,ta,ur,gu,kn,ml,or,pa,as,bh,sat,ks,ne,sd,kok,doi,mni,sit,sa,fr,lus,inc"",""country_area"":3287590,""country_population"":1352617328,""asn"":""AS16509"",""org"":""AMAZON-02""}}",2026-01-02 15:42:59
53,bba97e32-59ff-4a2c-8a71-1d8e34b94130,,,,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",3.111.29.1,"{""endpoint"":""https://ipapi.co/3.111.29.1/json/"",""response"":{""error"":true,""reason"":""RateLimited"",""message"":""Visit https://ipapi.co/ratelimited/ for details""}}",2026-01-02 16:54:36
54,1259d046-637d-4d86-b66f-53523adabcd0,,,,,,,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Safari/537.36",3.111.29.1,"{""endpoint"":""https://ipapi.co/3.111.29.1/json/"",""response"":{""error"":true,""reason"":""RateLimited"",""message"":""Visit https://ipapi.co/ratelimited/ for details""}}",2026-01-02 16:57:28
55,bba97e32-59ff-4a2c-8a71-1d8e34b94130,,,,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",3.111.29.1,"{""endpoint"":""https://ipapi.co/3.111.29.1/json/"",""response"":{""error"":true,""reason"":""RateLimited"",""message"":""Visit https://ipapi.co/ratelimited/ for details""}}",2026-01-02 17:15:34
56,5798929f-f82b-44ed-ac49-bf2977ef307f,,,,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",3.111.29.1,"{""endpoint"":""https://ipapi.co/3.111.29.1/json/"",""response"":{""error"":true,""reason"":""RateLimited"",""message"":""Visit https://ipapi.co/ratelimited/ for details""}}",2026-01-02 17:43:16
57,b0f1a759-9241-4e69-afe2-d98e34e399b1,,,,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",3.111.29.1,"{""endpoint"":""https://ipapi.co/3.111.29.1/json/"",""response"":{""error"":true,""reason"":""RateLimited"",""message"":""Visit https://ipapi.co/ratelimited/ for details""}}",2026-01-03 05:04:10
58,b0f1a759-9241-4e69-afe2-d98e34e399b1,,,,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",3.111.29.1,"{""endpoint"":""https://ipapi.co/3.111.29.1/json/"",""response"":{""error"":true,""reason"":""RateLimited"",""message"":""Visit https://ipapi.co/ratelimited/ for details""}}",2026-01-03 05:15:53
59,455012c1-0804-4964-8114-b1c8db73bbba,,,,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",3.111.29.1,"{""endpoint"":""https://ipapi.co/3.111.29.1/json/"",""response"":{""error"":true,""reason"":""RateLimited"",""message"":""Visit https://ipapi.co/ratelimited/ for details""}}",2026-01-03 05:22:38
60,bba97e32-59ff-4a2c-8a71-1d8e34b94130,,,,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",3.111.29.1,"{""endpoint"":""https://ipapi.co/3.111.29.1/json/"",""response"":{""error"":true,""reason"":""RateLimited"",""message"":""Visit https://ipapi.co/ratelimited/ for details""}}",2026-01-03 05:22:55
61,ef5bdac3-9f95-4e98-8fad-1a34d906de41,,,,,,,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/143.0.7499.151 Mobile/15E148 Safari/604.1",3.111.29.1,"{""endpoint"":""https://ipapi.co/3.111.29.1/json/"",""response"":{""error"":true,""reason"":""RateLimited"",""message"":""Visit https://ipapi.co/ratelimited/ for details""}}",2026-01-03 05:39:03
62,ef5bdac3-9f95-4e98-8fad-1a34d906de41,,,,,,,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/143.0.7499.151 Mobile/15E148 Safari/604.1",3.111.29.1,"{""endpoint"":""https://ipapi.co/3.111.29.1/json/"",""response"":{""error"":true,""reason"":""RateLimited"",""message"":""Visit https://ipapi.co/ratelimited/ for details""}}",2026-01-03 05:39:11
